City,State,Latitude,Longitude,Population
Dongzhen,China,22.373029,110.947456,98259
Chengzihe,China,45.333333,131.066667,98188
Liling,China,27.666667,113.5,98162
Nongan,China,44.381982,125.168469,98087
Heyang,China,29.994722,106.257222,97575
Xinyu,China,27.804294,114.933354,97480
Fangshan,China,39.698333,115.9925,97026
Zhangye,China,38.934167,100.451667,96228
Yuncheng,China,22.930558,112.037297,96192
Lubu,China,23.174221,112.280936,95820
Jinsha,China,32.089817,121.073546,95647
Ducheng,China,23.237294,111.53172,95525
Shenjiamen,China,29.957625,122.298017,95433
Boli,China,45.766667,130.516667,95260
Xiaoshan,China,30.167456,120.258831,95234
Enshi,China,30.3,109.483333,95227
Wuchang,China,44.914282,127.150007,94786
Yongchang,China,29.351389,105.894722,94465
Ximei,China,24.963889,118.379444,94326
Yishui,China,35.784722,118.628056,94115
Yuancheng,China,23.733333,114.683333,93718
Baijiantan,China,45.633333,85.183333,93697
Zhengjiatun,China,43.506389,123.506389,93666
Changping,China,40.218611,116.219722,93174
Lianzhou,China,24.781111,112.3825,92827
Danjiangkou,China,32.542778,111.508611,92008
Zhongshu,China,24.516667,103.766667,91750
Huazhou,China,21.633333,110.583333,91701
Yatou,China,37.15,122.383333,91517
Lingyuan,China,41.24,119.401111,91418
Duyun,China,26.266667,107.516667,91136
Pingdu,China,36.784444,119.946389,91077
Gaoyou,China,32.785833,119.427778,90911
Hanting,China,36.770833,119.210833,90637
Bose,China,23.899722,106.613333,90603
Tongren,China,27.717222,109.185278,90593
Xihe,China,31.686355,113.465846,90422
Huayang,China,30.510299,104.054219,90365
Duobao,China,30.670005,112.689517,90257
Sishui,China,35.648889,117.275833,90175
Laizhou,China,37.171667,119.921389,90070
Huaidian,China,33.433333,115.033333,89978
Xiongyue,China,40.177368,122.122844,89887
Choucheng,China,29.315056,120.076764,89629
Fujin,China,47.26,132.032222,89442
Huaicheng,China,23.905134,112.193144,89294
Lujiang,China,31.233572,117.280566,89119
Hede,China,33.768056,120.251667,89107
Lengshuitan,China,26.411098,111.595592,88935
Wangqing,China,43.321787,129.763416,88732
Yuzhou,China,34.162778,113.463889,87961
Hanchuan,China,30.65,113.766667,87737
Qiongshan,China,20.005833,110.354167,87657
Xiangxiang,China,27.733333,112.533333,87592
Deqing,China,30.541667,119.9575,87576
Ziyang,China,30.121083,104.648106,87400
Mishan,China,45.543056,131.882222,87257
Nenjiang,China,49.183333,125.216667,87236
Shizilu,China,35.171111,118.828889,86749
Nanfeng,China,23.743439,111.795934,86129
Yongzhou,China,26.423889,111.613056,86095
Dayong,China,29.129444,110.478333,86083
Helong,China,42.539744,128.99722,85756
Hailin,China,44.583333,129.416667,85578
Nanding,China,36.748333,118.055833,85495
Guozhen,China,34.365907,107.359045,85415
Dengzhou,China,37.808611,120.750833,85279
Qufu,China,35.596667,116.991111,85144
Yumen,China,39.833333,97.733333,84769
Dinghai,China,30.010754,122.204649,84380
Dafeng,China,33.199728,120.457805,84323
Keshan,China,48.066667,125.9,84292
Jinxiang,China,27.432654,120.60625,84231
Jiangdu,China,32.436667,119.550833,83936
Lingdong,China,46.566944,131.145278,83636
Nanzhang,China,31.783941,111.827518,83604
Tancheng,China,34.613611,118.339722,83467
Xucheng,China,20.350001,110.128837,83267
Taihe,China,30.871229,105.384542,83018
Hecun,China,36.533333,114.111111,83009
Ningyang,China,35.764167,116.791389,82994
Yuanping,China,38.715278,112.7575,82883
Yunhe,China,34.311389,117.950278,82641
Changqing,China,36.5575,116.727222,82598
Jiancheng,China,30.390968,104.549121,82563
Shache,China,38.416667,77.240556,82509
Yima,China,34.738056,111.883889,82509
Shangzhi,China,45.214033,127.950313,82419
Nangong,China,37.358056,115.374444,82386
Lushunkou,China,38.8,121.266667,82345
Quzhou,China,28.959444,118.868611,82216
Tangping,China,22.026471,111.93229,81729
Yudong,China,29.385,106.519444,81408
Mata,China,21.617844,111.336796,81166
Feicheng,China,35.260556,117.9675,80929
Shanting,China,35.075278,117.457778,80843
Gushi,China,32.2,115.8,80666
Zhuanghe,China,39.700833,122.991111,80384
Tongzi,China,28.1375,106.82,80344
Xushan,China,30.176405,121.245702,80299
Baoying,China,33.229167,119.309167,80292
Nanhai,China,30.128189,111.778369,80290
Dashiqiao,China,40.637318,122.502508,80223
Panshi,China,42.942222,126.056111,80200
Taixing,China,32.166667,120.013611,79655
Tangjiazhuang,China,39.733333,118.45,79489
Shouguang,China,36.88,118.7375,79212
Shenxian,China,36.241111,115.667222,79196
Suicheng,China,21.414225,110.236498,79141
Qixia,China,37.2975,120.825556,79106
Xiongzhou,China,25.116667,114.3,79050
Xinzhou,China,30.866667,114.8,78767
Shitanjing,China,39.234167,106.343889,78765
Tumen,China,42.966111,129.8425,78719
Youhao,China,47.866667,128.833333,78402
Pingyi,China,35.500556,117.630833,78254
Linping,China,30.4225,120.297222,78180
Rucheng,China,32.388333,120.555278,77947
Linkou,China,45.3,130.283333,77754
Bijie,China,27.3125,105.294167,77645
Huangmei,China,30.192347,116.024959,77633
Songling,China,31.193303,120.717577,77566
Jishui,China,33.733333,115.4,77540
Linqu,China,36.515556,118.539722,77472
Shulan,China,44.35,126.8,77420
Yanzhou,China,35.552778,116.828611,77276
Jiexiu,China,37.024444,111.9125,77178
Hunchun,China,42.8675,130.358056,77028
Tunxi,China,29.711389,118.3125,77000
Liangxiang,China,39.731944,116.14,76744
Zhifang,China,30.35,114.316667,76682
Fulitun,China,46.721667,131.139444,76465
Guicheng,China,23.096389,109.609167,76430
Yangliuqing,China,39.1375,116.999722,76387
Qingquan,China,30.45113,115.255931,76154
Lishan,China,34.378027,109.208925,75882
Shuiji,China,36.859167,120.526944,75849
Jiaonan,China,35.878611,119.975278,75656
Fuyü,China,47.641389,124.679444,75147
Huilong,China,31.811111,121.655,74818
Beidao,China,34.568611,105.893333,74767
Yanggu,China,36.110556,115.775278,74725
Aojiang,China,27.59564,120.555371,74636
Shancheng,China,34.795278,116.081667,74459
Nanma,China,36.181667,118.158333,74406
Suixi,China,33.890673,116.774725,74172
Xinmin,China,41.990833,122.825278,74139
Gucheng,China,32.266043,111.634759,74038
Xianshuigu,China,38.985,117.382778,74028
Yunyang,China,33.447432,112.714225,73922
Xiongshi,China,28.288572,117.213291,73732
Lanxi,China,29.21946,119.476953,73706
Genhe,China,50.783333,121.516667,73631
Luocheng,China,29.384813,104.028621,73581
Juegang,China,32.31737,121.185525,73317
Yian,China,47.883333,125.3,73299
Dongdu,China,35.85,117.7,72957
Dongkan,China,33.999722,119.830833,72789
Jiuquan,China,39.73817,98.499328,72732
Huangchuan,China,32.127222,115.039444,72663
Haian,China,32.543611,120.45,72654
Lichuan,China,30.3,108.85,72653
Lanxi,China,46.262222,126.285556,72528
Miyang,China,24.404167,103.442778,72485
Jianhu,China,33.277587,119.959845,72474
Fengzhen,China,40.439444,113.153611,72444
Xinzhi,China,36.498889,111.704722,72303
Liyang,China,31.430795,119.523993,72276
Zhoucheng,China,35.912222,116.311667,72070
Caidian,China,30.583333,114.033333,71891
Xiuyan,China,40.276985,123.282968,71614
Lianzhou,China,21.668198,109.16946,71423
Weihe,China,44.966667,128.383333,71344
Changtu,China,42.778842,124.095447,71284
Anlu,China,31.2575,113.678333,71198
Yilan,China,46.316667,129.566667,71180
Simao,China,22.788627,100.974807,71094
Hanyang,China,27.089167,119.645278,71053
Kuandian,China,40.728611,124.784722,70867
Jimo,China,36.389722,120.462222,70733
Baiquan,China,47.583333,126.083333,70472
Jiangyan,China,32.506111,120.142778,70375
Fuyang,China,30.053333,119.951944,70183
Xiashi,China,30.536294,120.686384,70171
Binzhou,China,23.223785,108.802165,70013
Mengcheng,China,33.266109,116.566052,69916
Wangkui,China,46.833333,126.5,69915
Jiehu,China,35.542778,118.455,69245
Linjiang,China,41.806944,126.907778,69149
Xiaoshi,China,41.297111,124.120918,68994
Chengmai,China,19.6825,110.090278,68720
Heishan,China,41.689167,122.112778,68603
Pengcheng,China,36.431111,114.17,68442
Shima,China,24.447778,117.811111,68375
Mingguang,China,32.780169,117.963776,68351
Ninghai,China,29.289167,121.424722,68330
Kuche,China,41.727778,82.936389,68105
Chaihe,China,44.766667,129.7,67963
Minggang,China,32.458611,114.048611,67945
Tangzhai,China,34.432778,116.591111,67936
Dongfeng,China,42.640309,125.511762,67820
Zhenlai,China,45.849549,123.297296,67760
Songjianghe,China,42.185903,127.478946,67672
Luorong,China,24.405833,109.608611,67593
Wenling,China,28.366944,121.36,67433
Rongcheng,China,25.725,119.379444,67397
Caohe,China,30.2297,115.433461,67370
Pingzhuang,China,42.037222,119.288889,67273
Fengkou,China,30.083333,113.266667,67139
Liuhe,China,42.240066,125.717173,66975
Xihua,China,33.783333,114.516667,66848
Tailai,China,46.383333,123.4,66623
Juxian,China,35.579444,118.832778,66588
Sanchazi,China,42.081667,126.600278,66576
Ningan,China,44.383333,129.433333,66549
Wuan,China,36.694444,114.196389,66523
Lianyuan,China,27.688333,111.664167,66501
Qiyang,China,26.573073,111.841839,66442
Changying,China,34.116667,114.6,66392
Huinan,China,42.6225,126.261389,66315
Luoyang,China,24.959379,118.682998,66188
Bamiantong,China,44.933333,130.533333,66170
Huanren,China,41.260501,125.406431,66147
Huanan,China,46.216667,130.516667,66087
Yangshe,China,31.889945,120.605215,66039
Xiaolingwei,China,32.033333,118.85,66031
Mengyin,China,35.706944,117.926389,65889
Dashitou,China,43.306667,128.511389,65683
Fushan,China,37.495833,121.258056,65622
Babu,China,24.416667,111.516667,65603
Longhua,China,29.116667,107.266667,65565
Yebaishou,China,41.3975,119.640833,65536
Huaiyuan,China,32.958933,117.165658,65530
Dancheng,China,33.633333,115.183333,65411
Bianzhuang,China,34.848611,118.044722,65381
Wangou,China,42.059722,126.915833,65298
Jiaocheng,China,26.661667,119.522778,65170
Fengrun,China,39.833333,118.116667,65150
Kunyang,China,27.665833,120.565833,65009
Wanning,China,18.800278,110.396667,64954
Lingao,China,19.907778,109.685833,64874
Hongan,China,31.362075,114.63689,64831
Xunchang,China,28.454332,104.714984,64580
Yuncheng,China,35.598333,115.934722,64511
Changli,China,39.704167,119.150556,64476
Kaihua,China,23.368701,104.279996,64404
Qinggang,China,46.683333,126.083333,64182
Yangcun,China,39.363889,117.060278,63756
Zhicheng,China,31.006111,119.903611,63753
Mabai,China,23.012792,104.450813,63569
Nanlong,China,31.35333,106.06309,63405
Linshu,China,34.916111,118.638889,63285
Botou,China,38.066667,116.566667,63045
Baoqing,China,46.331667,132.211111,62991
Kaitong,China,44.813513,123.149999,62537
Dengfeng,China,34.455278,113.028056,62375
Zhaozhou,China,45.683333,125.316667,62373
Qianan,China,44.993243,124.058109,62337
Shuangyang,China,43.524167,125.673611,62137
Nianzishan,China,47.516667,122.883333,62131
Yunjinghong,China,21.991015,100.734086,62105
Pingyin,China,36.283056,116.445278,62050
Binzhou,China,45.752809,127.479863,62017
Hushitai,China,41.932222,123.511389,61979
Zhenhai,China,29.969497,121.687529,61979
Huoqiu,China,32.354727,116.293898,61904
Mudu,China,31.251958,120.511792,61902
Nandu,China,22.8525,110.823333,61881
Daye,China,30.083333,114.95,61847
Xinan,China,34.375833,118.345,61816
Jingcheng,China,32.014167,120.2625,61772
Yingshang,China,32.629453,116.270135,61771
Pumiao,China,22.75,108.483333,61690
Xinye,China,32.518611,112.352222,61633
Lishu,China,43.304722,124.327778,61584
Alihe,China,50.566667,123.716667,61582
Dongning,China,44.062188,131.120752,61440
Suicheng,China,33.896298,117.933066,61430
Jijiang,China,29.290556,106.254167,61161
Xifeng,China,42.737222,124.722222,61087
Yicheng,China,31.704722,112.256111,61027
Yanliang,China,34.659177,109.22921,60891
Tahe,China,52.333333,124.733333,60874
