City,Country,Lat,Long,Pop
Zlotoryja,Poland,51.12,15.91,16600
Namyslow,Poland,51.08,17.72,16500
Konstancin-jeziorna,Poland,52.1,21.11,16400
Zabkowice slaskie,Poland,50.59,16.82,16400
Ustka,Poland,54.58,16.85,16300
Radzyn podlaski,Poland,51.79,22.62,16100
Swidwin,Poland,53.77,15.78,16100
Olecko,Poland,54.04,22.51,16000
Garwolin,Poland,51.91,21.62,15900
Ledziny,Poland,50.13,19.06,15900
Choszczno,Poland,53.18,15.4,15800
Przeworsk,Poland,50.07,22.5,15800
Staszow,Poland,50.56,21.18,15700
Leczyca,Poland,52.07,19.2,15600
Nisko,Poland,50.53,22.14,15600
Ustron,Poland,49.72,18.8,15500
Siemiatycze,Poland,52.42,22.87,15400
Chelmza,Poland,53.18,18.61,15300
Kartuzy,Poland,54.33,18.2,15300
Milanowek,Poland,52.13,20.66,15300
Nowy tomysl,Poland,52.31,16.12,15300
