City,State,Latitude,Longitude,Population
Usolye-Sibirskoye,Russia,52.751944,103.645278,86903
Chaykovskiy,Russia,56.768637,54.114844,86714
Yurga,Russia,55.723056,84.886111,84222
Anzhero-Sudzhensk,Russia,56.081,86.0285,82527
Pushkin,Russia,59.722778,30.414167,82417
Troitsk,Russia,54.0979,61.5773,82339
Azov,Russia,47.10779,39.416481,82134
Kaspiysk,Russia,42.881648,47.639194,81753
Yessentuki,Russia,44.044444,42.860556,81016
Klin,Russia,56.333333,36.733333,80779
Vorkuta,Russia,67.5,64,80040
Kropotkin,Russia,45.4375,40.575556,79600
Shadrinsk,Russia,56.0852,63.6335,79480
Belovo,Russia,54.4165,86.2976,79424
Vyborg,Russia,60.707631,28.752826,78634
Reutov,Russia,55.761111,37.8575,78371
Voskresensk,Russia,55.317331,38.652642,77088
Mineralnyye Vody,Russia,44.210278,43.135278,76281
Birobidzhan,Russia,48.8,132.95,76146
Kamensk-Shakhtinskiy,Russia,48.317794,40.259475,75815
Chekhov,Russia,55.147696,37.477277,75645
Asbest,Russia,57.009934,61.457763,74584
Minusinsk,Russia,53.710278,91.6875,72782
Georgievsk,Russia,44.151944,43.469722,72652
Yelabuga,Russia,55.761274,52.064931,72644
Naro-Fominsk,Russia,55.387518,36.733074,72633
Ordzhonikidzevskaya,Russia,43.319502,45.049109,71841
Volsk,Russia,51.986272,47.243375,71717
Pushkino,Russia,55.996111,37.901667,71653
Chernogorsk,Russia,53.823611,91.284167,71583
Krasnoyarsk-45,Russia,56.1124,94.5985,71357
Kopeysk,Russia,55.131,61.6792,70786
Beloretsk,Russia,53.963056,58.398056,70469
Ishimbay,Russia,53.454462,56.041487,70422
Chapaevsk,Russia,52.9771,49.7086,70148
Lysva,Russia,58.108611,57.805278,69637
Tuymazy,Russia,54.606657,53.709699,68830
Borisoglebsk,Russia,51.367129,42.084942,68598
Dolgoprudnyy,Russia,55.904114,37.560643,68260
Ishim,Russia,56.112807,69.490148,67763
Kstovo,Russia,56.147333,44.197871,67243
Aleksin,Russia,54.50503,37.067403,66886
Kungur,Russia,57.4368,56.9593,66390
Klintsy,Russia,52.760186,32.239345,66337
Neryungri,Russia,56.6709,124.6491,66325
Belogorsk,Russia,50.915833,128.461111,66271
Leninogorsk,Russia,54.602559,52.460871,66264
Gukovo,Russia,48.0242,39.8737,66080
Lesosibirsk,Russia,58.235833,92.482778,65946
Polevskoy,Russia,56.442222,60.187778,65771
Meleuz,Russia,52.966667,55.916667,65363
Kumertau,Russia,52.766667,55.783333,65322
Gus-Khrustalnyy,Russia,55.611131,40.651862,65268
Slavyansk-na-Kubani,Russia,45.2558,38.1256,65197
Tikhoretsk,Russia,45.854722,40.125278,64388
Rossosh,Russia,51.1209,38.5116,64324
Tuapse,Russia,44.1053,39.0802,64235
Krasnoturinsk,Russia,59.7666,60.2086,64209
Aleksandrov,Russia,56.39516,38.712161,64089
Pavlovo,Russia,55.968598,43.091202,63339
