City,State,Latitude,Longitude,Pop
Pinneberg,Germany,53.65,9.8,40679
Laatzen,Germany,52.316667,9.8,40245
Kirchheim,Germany,48.65,9.45,40144
Schwedt,Germany,53.066667,14.3,40005
Kamp-Lintfort,Germany,51.5,6.533333,39949
Schorndorf,Germany,48.8,9.533333,39919
Dachau,Germany,48.266667,11.433333,39815
Hückelhoven,Germany,51.05,6.216667,39765
Pirna,Germany,50.966667,13.933333,39701
Ettlingen,Germany,48.95,8.4,39635
Bensheim,Germany,49.680278,8.616111,39450
Halberstadt,Germany,51.9,11.05,39391
Mettmann,Germany,51.25,6.966667,39371
Hemer,Germany,51.383333,7.766667,39288
Warendorf,Germany,51.95,7.983333,39281
Voerde,Germany,51.6,6.683333,39052
Ahaus,Germany,52.066667,7,38932
Schwabach,Germany,49.329167,11.025556,38921
Siegburg,Germany,50.8,7.2,38818
Freital,Germany,51.016667,13.65,38815
Maintal,Germany,50.15,8.833333,38656
Sankt Ingbert,Germany,49.283333,7.116667,38654
Hofheim,Germany,50.083333,8.45,38482
Altenburg,Germany,50.983333,12.45,38338
Buxtehude,Germany,53.45,9.7,38236
Haltern,Germany,51.733333,7.183333,38212
Falkensee,Germany,52.566667,13.083333,37916
Beckum,Germany,51.75,8.033333,37914
Saarlouis,Germany,49.316667,6.75,37663
Würselen,Germany,50.816667,6.133333,37594
Stendal,Germany,52.6,11.85,37402
Leinfelden-Echterdingen,Germany,48.7,9.15,37210
Datteln,Germany,51.666667,7.383333,37130
Wermelskirchen,Germany,51.15,7.216667,36952
Coesfeld,Germany,51.933333,7.15,36929
Germering,Germany,48.133333,11.366667,36905
Riesa,Germany,51.3,13.3,36788
Lage,Germany,51.983333,8.8,36709
Schwäbisch Hall,Germany,49.105833,9.734167,36590
Kempen,Germany,51.366667,6.416667,36506
Backnang,Germany,48.95,9.433333,36477
Niederkassel,Germany,50.816667,7.033333,36426
Porta Westfalica,Germany,52.216667,8.933333,36419
Wesseling,Germany,50.833333,6.983333,36296
Mühlhausen,Germany,51.216667,10.45,36287
Zweibrücken,Germany,49.25,7.366667,35970
Eisenhüttenstadt,Germany,52.15,14.65,35839
Langen,Germany,49.993333,8.672778,35755
Sinsheim,Germany,49.255278,8.877222,35740
Greven,Germany,52.1,7.616667,35732
Emsdetten,Germany,52.183333,7.533333,35383
Tuttlingen,Germany,47.983333,8.816667,35133
Uelzen,Germany,52.966667,10.566667,35096
Jülich,Germany,50.933333,6.366667,34888
Papenburg,Germany,53.066667,7.4,34715
Balingen,Germany,48.283333,8.85,34680
Wernigerode,Germany,51.833333,10.783333,34674
Kehl,Germany,48.583333,7.816667,34493
Steinfurt,Germany,52.15,7.35,34478
Merseburg,Germany,51.366667,12,34440
Schönebeck,Germany,52.016667,11.75,34358
Barsinghausen,Germany,52.3,9.45,34322
Geldern,Germany,51.516667,6.333333,34291
Meppen,Germany,52.683333,7.316667,34205
Fürstenfeldbruck,Germany,48.183333,11.25,34194
Mörfelden-Walldorf,Germany,49.994722,8.583611,34194
Ostfildern,Germany,48.716667,9.266667,34162
Leer,Germany,53.233333,7.433333,34081
Goch,Germany,51.666667,6.166667,34045
Limburg,Germany,50.383333,8.05,33955
Königs Wusterhausen,Germany,52.283333,13.616667,33872
Korschenbroich,Germany,51.183333,6.516667,33588
Bernau,Germany,52.666667,13.583333,33481
Itzehoe,Germany,53.916667,9.516667,33415
Seelze,Germany,52.4,9.6,33224
Fürstenwalde,Germany,52.366667,14.066667,33199
Stuhr,Germany,53.033333,8.75,33110
Gevelsberg,Germany,51.316667,7.333333,32978
Dietzenbach,Germany,50.016667,8.783333,32975
Höxter,Germany,51.766667,9.383333,32962
Georgsmarienhütte,Germany,52.2,8.05,32945
Viernheim,Germany,49.541667,8.578611,32921
Idar-Oberstein,Germany,49.7,7.3,32876
Bernburg,Germany,51.8,11.733333,32859
Radebeul,Germany,51.1,13.65,32698
Crailsheim,Germany,49.15,10.083333,32666
Wedel,Germany,53.583333,9.716667,32619
Meschede,Germany,51.35,8.283333,32593
Rheinfelden,Germany,47.566667,7.8,32538
Nienburg,Germany,52.633333,9.216667,32512
Biberach,Germany,48.1,9.8,32501
Ennepetal,Germany,51.3,7.35,32426
Erding,Germany,48.3,11.933333,32377
Werl,Germany,51.55,7.916667,32304
Rheinberg,Germany,51.55,6.6,32178
