City,Country,Lat,Long,Pop
Viçosa,Brazil,-20.75,-42.883333,68681
Balsas,Brazil,-7.516667,-46.033333,68058
Itatiba,Brazil,-23,-46.85,67935
Santa Inês,Brazil,-3.65,-45.366667,67426
Tubarão,Brazil,-28.5,-49.016667,67246
Pato Branco,Brazil,-26.216667,-52.666667,65754
Paulínia,Brazil,-22.75,-47.166667,65596
Lajeado,Brazil,-29.45,-51.966667,65408
Cruz Alta,Brazil,-28.65,-53.6,65276
Aquiraz,Brazil,-3.9,-38.366667,65117
Gurupi,Brazil,-11.7225,-49.012222,64790
Itaituba,Brazil,-4.216667,-56.016667,64758
Santo Ângelo,Brazil,-28.3,-54.266667,64607
Parintins,Brazil,-2.6,-56.733333,64429
Curvelo,Brazil,-18.75,-44.416667,63955
Itabaiana,Brazil,-10.683333,-37.433333,63889
Caçador,Brazil,-26.783333,-51,63727
Caldas Novas,Brazil,-17.75,-48.633333,63681
Ouro Prêto,Brazil,-20.383333,-43.5,63679
Irecê,Brazil,-11.3,-41.866667,63628
Catalão,Brazil,-18.166667,-47.95,63545
Três Corações,Brazil,-21.7,-45.266667,63458
Rio Largo,Brazil,-9.483333,-35.85,63389
Vilhena,Brazil,-12.716667,-60.116667,63237
Valença,Brazil,-13.366667,-39.083333,63233
Peruíbe,Brazil,-24.316667,-47,63032
Itapeva,Brazil,-23.966667,-48.866667,62958
Cataguases,Brazil,-21.4,-42.683333,62619
Saquarema,Brazil,-22.933333,-42.5,62057
Tupã,Brazil,-21.933333,-50.5,62036
Fernandópolis,Brazil,-20.266667,-50.233333,61932
Senador Canedo,Brazil,-16.716667,-49.083333,61801
Itapira,Brazil,-22.433333,-46.833333,61608
Gravatá,Brazil,-8.2,-35.566667,61250
Valença,Brazil,-22.241944,-43.701389,61145
Pirassununga,Brazil,-21.983333,-47.416667,60414
Unaí,Brazil,-16.383333,-46.883333,60203
Caratinga,Brazil,-19.783333,-42.133333,60067
Itapetinga,Brazil,-15.25,-40.25,59723
Mococa,Brazil,-21.466667,-47.016667,59656
São Borja,Brazil,-28.65,-56,59614
Caràzinho,Brazil,-28.3,-52.8,59418
Santa Rosa,Brazil,-27.866667,-54.483333,58958
Telêmaco Borba,Brazil,-24.35,-50.616667,58880
Guanambi,Brazil,-14.216667,-42.783333,58879
Aracruz,Brazil,-19.816667,-40.266667,58272
Ariquemes,Brazil,-9.933333,-63.066667,58102
Farroupilha,Brazil,-29.233333,-51.35,57651
Francisco Beltrão,Brazil,-26.083333,-53.066667,57618
Picos,Brazil,-7.083333,-41.466667,57496
Lençóis Paulista,Brazil,-22.6,-48.783333,57376
São Sebastião do Paraíso,Brazil,-20.916667,-47,57239
Arcoverde,Brazil,-8.416667,-36.916667,57164
Bragança,Brazil,-1.05,-46.766667,57164
Vacaria,Brazil,-28.5,-50.933333,56766
Cajamar,Brazil,-23.35,-46.883333,56684
Janaúba,Brazil,-15.8,-43.316667,56573
Vinhedo,Brazil,-23.016667,-46.983333,56493
Formiga,Brazil,-20.45,-45.416667,56405
Nova Viçosa,Brazil,-17.883333,-39.366667,56001
Cianorte,Brazil,-23.616667,-52.616667,55995
Itapipoca,Brazil,-3.5,-39.583333,55785
Ponta Porã,Brazil,-22.533333,-55.716667,55765
Estância,Brazil,-11.266667,-37.433333,55655
Cacoal,Brazil,-11.5,-61.416667,55566
São Gabriel,Brazil,-30.333333,-54.316667,55435
Concórdia,Brazil,-27.233333,-52.016667,55368
Pacatuba,Brazil,-3.966667,-38.616667,55292
Viana,Brazil,-20.383333,-40.5,55123
São Pedro da Aldeia,Brazil,-22.85,-42.1,55014
Caicó,Brazil,-6.45,-37.1,54935
Seropédica,Brazil,-22.747222,-43.716944,54846
Cabedelo,Brazil,-6.966667,-34.833333,54841
Campo Bom,Brazil,-29.683333,-51.05,54762
Manhuaçu,Brazil,-20.25,-42.033333,54608
Penápolis,Brazil,-21.4,-50.066667,54478
Mairiporã,Brazil,-23.322628,-46.586935,54417
Montenegro,Brazil,-29.7,-51.466667,54058
Ipojuca,Brazil,-8.4,-35.066667,53365
Campos do Jordão,Brazil,-22.7264,-45.5792,53320
