City,State,Lat,Long,Pop
Manises,Spain,39.483333,-0.45,27420
Totana,Spain,37.768801,-1.502288,27292
Sueca,Spain,39.2,-0.316667,27085
Marratxi,Spain,39.65,2.8,27035
Alcázar de San Juan,Spain,39.391324,-3.209756,26976
El Vendrell,Spain,41.220468,1.533654,26947
Torre-Pacheco,Spain,37.742931,-0.953964,26932
Mahón,Spain,39.883333,4.25,26926
Valdepeñas,Spain,38.762112,-3.384829,26840
Ingenio,Spain,27.918285,-15.447214,26606
Inca,Spain,39.720034,2.910287,26595
Carmona,Spain,37.471248,-5.646083,26471
Algemesí,Spain,39.183333,-0.433333,26222
Rota,Spain,36.622363,-6.358589,25867
Alhaurín de la Torre,Spain,36.663106,-4.562716,25791
Camas,Spain,37.402023,-6.033141,25622
San Andrés del Rabanedo,Spain,42.611745,-5.616709,25618
Marín,Spain,42.383333,-8.7,25497
Ibi,Spain,38.625334,-0.572246,25467
Camargo,Spain,43.407436,-3.884978,25107
Sant Pere de Ribes,Spain,41.26126,1.772075,24997
Villaviciosa de Odón,Spain,40.356923,-3.900107,24958
Durango,Spain,43.171235,-2.633795,24953
Martorell,Spain,41.47402,1.93062,24877
Lebrija,Spain,36.920774,-6.075286,24754
Coria del Río,Spain,37.287661,-6.054101,24671
Almansa,Spain,38.869166,-1.097131,24502
Jumilla,Spain,38.475721,-1.326995,24476
Cangas,Spain,42.264128,-8.784625,24460
San Roque,Spain,36.210667,-5.38415,24198
Salt,Spain,41.973982,2.791613,24145
Gáldar,Spain,28.14252,-15.654224,24118
Azuqueca de Henares,Spain,40.566881,-3.259921,24117
Villanueva de la Serena,Spain,38.976552,-5.797398,24006
Adra,Spain,36.747398,-3.015989,23988
Icod de los Vinos,Spain,28.372414,-16.711881,23885
Cambrils,Spain,41.074787,1.052436,23833
Villarrobledo,Spain,39.269922,-2.601185,23663
Granadilla de Abona,Spain,28.118816,-16.575989,23212
Puerto del Rosario,Spain,28.50038,-13.862719,23184
Montilla,Spain,37.586266,-4.638054,23157
Santa Pola,Spain,38.19273,-0.557868,23111
Mazarrón,Spain,37.598791,-1.315541,23068
Lloret de Mar,Spain,41.699929,2.845646,23009
Valls,Spain,41.286117,1.249929,22961
Santa Eulalia del Río,Spain,38.985192,1.535644,22876
Benicarló,Spain,40.416501,0.427087,22871
Priego de Córdoba,Spain,37.436801,-4.196104,22604
Culleredo,Spain,43.28788,-8.38858,22560
Baza,Spain,37.487098,-2.771589,22558
Barbate,Spain,36.192368,-5.921862,22524
Martos,Spain,37.721072,-3.972645,22441
Oliva,Spain,38.919708,-0.119349,22422
Catarroja,Spain,39.4,-0.4,22408
Erandio,Spain,43.305502,-2.945754,22377
Onda,Spain,39.966667,-0.25,22289
Tacoronte,Spain,28.476885,-16.410157,22289
San Javier,Spain,37.804917,-0.8373,22276
Barañáin,Spain,42.805668,-1.677313,22264
Adeje,Spain,28.11984,-16.725581,22245
Castrillón,Spain,43.383333,-6.783333,22176
Almuñécar,Spain,36.733594,-3.690619,22157
Calahorra,Spain,42.30506,-1.965209,21923
Agüimes,Spain,27.905052,-15.445395,21908
Cullera,Spain,39.166667,-0.25,21756
Castro-Urdiales,Spain,43.382855,-3.220433,21605
Sitges,Spain,41.237045,1.807316,21495
Alcalá la Real,Spain,37.461402,-3.923013,21377
Zarautz,Spain,43.283333,-2.166667,21303
Palafrugell,Spain,41.917381,3.163098,20830
Cabra,Spain,37.47249,-4.44206,20806
Loja,Spain,37.164893,-4.148524,20750
Santa Cruz de la Palma,Spain,28.682798,-17.763732,20501
Sant Feliu de Guíxols,Spain,41.78476,3.028978,20457
Requena,Spain,39.483333,-1.1,20428
Medina del Campo,Spain,41.312394,-4.914133,20273
Lalín,Spain,42.660853,-8.112852,20266
Lepe,Spain,37.254819,-7.204334,20176
Paiporta,Spain,39.433333,-0.416667,20134
Moncada,Spain,39.55,-0.4,19890
Alfafar,Spain,39.416667,-0.383333,19880
San Juan de Aznalfarache,Spain,37.358125,-6.037314,19848
Llodio,Spain,43.143222,-2.962042,19623
Alhaurín el Grande,Spain,36.643002,-4.687276,19605
Los Llanos de Aridane,Spain,28.658507,-17.918211,19461
Níjar,Spain,36.966298,-2.204491,19449
Cambre,Spain,43.294376,-8.34736,19445
Alboraya,Spain,39.5,-0.35,19431
Aspe,Spain,38.345112,-0.767215,19430
Laguna de Duero,Spain,41.581514,-4.723322,19362
Baena,Spain,37.616696,-4.322453,19349
Palma del Río,Spain,37.700239,-5.281208,19265
Santa Brígida,Spain,28.031968,-15.50425,19158
Amposta,Spain,40.710754,0.578086,19140
Mejorada del Campo,Spain,40.392826,-3.481941,19019
